date,site_id,local_site_name,county,state,site_latitude,site_longitude,station,station_name,daily_max_8hr_ozone,daily_aqi_ozone,daily_obs_count_ozone,percent_complete_ozone,ozone_poc,daily_mean_pm10,daily_aqi_pm10,daily_obs_count_pm10,percent_complete_pm10,pm10_poc,daily_mean_pm25,daily_aqi_pm25,daily_obs_count_pm25,percent_complete_pm25,pm25_poc,daily_max_1hr_no2,daily_aqi_no2,daily_obs_count_no2,percent_complete_no2,no2_poc,awnd,prcp,tmax,tmin,overall_aqi,poor_air_quality,year,month,day_of_week,is_weekend,season,dominant_pollutant
2024-02-10,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.037,34.0,17.0,100.0,1,10.0,9.0,1.0,100.0,3,3.2,18.0,1.0,100.0,1,8.6,8.0,24.0,100.0,1,2.7,0.3,26.1,19.4,34.0,0,2024,2,Saturday,1,Winter,Ozone
2024-02-11,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.035,32.0,17.0,100.0,1,10.0,9.0,1.0,100.0,3,4.3,24.0,1.0,100.0,1,10.5,9.0,24.0,100.0,1,2.6,0.0,26.7,18.3,32.0,0,2024,2,Sunday,1,Winter,Ozone
2024-02-12,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.029,27.0,17.0,100.0,1,8.0,7.0,1.0,100.0,3,2.65,17.0,2.0,100.0,"1,2",15.9,14.0,22.0,92.0,1,3.5,0.0,28.3,17.2,27.0,0,2024,2,Monday,0,Winter,Ozone
2024-02-13,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.03,28.0,17.0,100.0,1,8.0,7.0,1.0,100.0,3,2.6,14.0,1.0,100.0,1,13.7,12.0,24.0,100.0,1,2.3,0.0,26.1,18.9,28.0,0,2024,2,Tuesday,0,Winter,Ozone
2024-02-14,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.025,23.0,17.0,100.0,1,8.0,7.0,1.0,100.0,3,2.5,14.0,1.0,100.0,1,19.6,18.0,24.0,100.0,1,3.9,1.5,26.7,20.0,23.0,0,2024,2,Wednesday,0,Winter,Ozone
2024-02-15,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.039,36.0,17.0,100.0,1,19.0,18.0,1.0,100.0,3,6.0,33.0,1.0,100.0,1,15.0,14.0,24.0,100.0,1,5.0,0.5,25.0,20.6,36.0,1,2024,2,Thursday,0,Winter,Ozone
2024-02-16,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.039,36.0,17.0,100.0,1,18.0,17.0,1.0,100.0,3,5.1,28.0,1.0,100.0,1,4.6,4.0,24.0,100.0,1,4.9,0.0,25.0,19.4,36.0,1,2024,2,Friday,0,Winter,Ozone
2024-02-17,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.044,41.0,17.0,100.0,1,17.0,16.0,1.0,100.0,3,6.0,33.0,1.0,100.0,1,4.6,4.0,24.0,100.0,1,5.1,0.0,25.6,18.3,41.0,1,2024,2,Saturday,1,Winter,Ozone
2024-02-18,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.044,41.0,17.0,100.0,1,18.0,17.0,1.0,100.0,3,5.6,33.0,2.0,100.0,"1,2",2.4,2.0,24.0,100.0,1,7.4,0.0,25.0,20.0,41.0,1,2024,2,Sunday,1,Winter,Ozone
2024-02-19,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.044,41.0,17.0,100.0,1,14.0,13.0,1.0,100.0,3,3.9,22.0,1.0,100.0,1,4.1,4.0,22.0,92.0,1,6.2,0.0,26.1,19.4,41.0,1,2024,2,Monday,0,Winter,Ozone
